# 2025-01-02 全池(1118 檔)。欄位:代碼 名稱|產業|最新月YoY 3月YoY均 加速度|距52週高% 距120日高% 60日漲% 120日漲%|量能比 日均值M|外持% 外20 投20 資20 券20(外資持股比;外資/投信20日淨買佔成交值%;融資/借券餘額20日變化%)
2427 三商電|資訊服務|-35 14 -14|82 89 6 -12|1.0 39|3 0 0 -9 5
2428 興勤|電子零組|4 11 7|83 84 -12 -15|0.7 13|15 -34 0 5 7
2429 銘旺科|光電業|24 25 61|67 79 4 -15|1.4 44|2 0 0 237 1380
2431 聯昌|電子零組|0 -13 14|76 76 11 13|0.2 23|6 2 0 12 -11
2436 偉詮電|半導體業|2 0 -8|74 80 -14 -13|0.5 64|5 -4 -0 -2 12
2438 翔耀|光電業|595 392 175|38 38 -30 -54|0.7 6|2 10 0 na na
2439 美律|通信網路|7 -0 -22|77 77 -9 -23|0.4 129|17 2 -1 -4 -11
2441 超豐|半導體業|6 8 -5|94 94 0 -4|1.2 70|12 -29 33 -33 78
2442 新美齊|建材營造|25 26 -1292|66 66 -4 -19|0.4 19|2 -8 0 3 14
2444 兆勁|通信網路|-26 -28 -3|93 93 21 21|1.3 21|5 5 0 na na
2449 京元電子|半導體業|16 13 3|81 81 1 -15|0.5 2210|28 -7 -10 -4 119
2451 創見|半導體業|-6 -14 -12|65 83 -16 -22|1.1 103|8 17 -19 52 -19
2453 凌群|資訊服務|4 4 -6|84 84 9 -16|0.5 116|6 -1 0 6 19
2454 聯發科|半導體業|5 16 -12|92 94 10 -3|0.7 7699|59 6 -5 -6 -6
2455 全新|通信網路|-27 -20 -66|81 81 2 -16|0.6 794|29 8 -1 -29 -7
2457 飛宏|電子零組|3 -13 2|59 73 -10 -28|0.4 44|8 -13 0 -4 19
2458 義隆|半導體業|-9 -5 -17|90 97 5 2|0.9 330|26 5 5 -8 -48
2462 良得電|電子零組|-5 -6 -8|67 74 -18 -26|0.5 5|2 -3 0 -8 -1
2464 盟立|其他電子|-4 3 18|87 87 3 -6|1.6 759|6 2 -0 15 -25
2465 麗臺|電腦及週|-52 -32 -34|47 60 -20 -38|0.6 25|1 -1 0 -5 -43
2466 冠西電|光電業|29 48 39|98 98 88 85|1.6 28|11 -3 0 7 30
2467 志聖|電子零組|29 26 -9|80 80 -14 2|0.4 301|10 -2 -2 -0 -1
2468 華經|資訊服務|-5 -7 -4|88 91 12 -3|1.6 140|2 0 0 -2 22
2471 資通|資訊服務|15 22 13|91 91 11 -2|0.5 94|3 -1 0 40 124
2472 立隆電|電子零組|16 20 4|90 90 6 -1|1.5 156|8 -5 0 -20 13
2474 可成|其他電子|18 22 24|83 83 -14 -10|0.8 1077|36 -4 -11 0 -44
2476 鉅祥|電子零組|13 19 6|74 76 -6 -22|0.5 99|8 -8 0 2 -9
2477 美隆電|其他電子|-3 16 5|73 73 -7 24|0.1 13|24 -4 0 -16 4
2480 敦陽科|資訊服務|15 8 7|99 99 9 18|1.3 59|7 8 -0 -25 -12
2481 強茂|半導體業|2 -1 -1|74 78 -15 -17|0.6 37|11 12 0 -6 -13
2484 希華|電子零組|-17 -5 2|73 82 -15 -18|0.9 5|5 -4 0 -0 -2
2485 兆赫|通信網路|-64 -76 -23|63 68 -17 -33|1.4 9|6 -16 0 0 12
2486 一詮|光電業|7 9 -3|76 76 -1 -22|0.9 1646|9 -3 0 -7 23
2488 漢平|其他電子|73 39 11|93 93 12 15|0.5 23|13 5 0 8 -1
2489 瑞軒|光電業|32 27 -13|70 70 -10 -10|0.3 41|11 -4 0 -1 -2
2492 華新科|電子零組|2 4 -2|72 72 -14 -23|0.7 108|10 -13 -1 3 18
2493 揚博|電子零組|8 11 2|79 79 -0 -1|0.2 36|4 -13 0 -2 11
2495 普安|電腦及週|-5 -25 -20|81 81 -10 -8|0.5 120|13 -15 -1 -2 -27
2497 怡利電|汽車工業|15 23 1|66 66 -31 -2|0.3 37|10 2 -6 -16 -17
2498 宏達電|通信網路|-6 -16 5|87 92 -7 0|4.0 209|13 4 -0 6 2
2501 國建|建材營造|25 46 -25|58 72 -6 -21|0.7 35|8 -11 -2 0 -8
2504 國產|建材營造|-4 -1 -5|92 92 5 17|2.1 282|10 -2 2 -1 -5
