# 2024-12-02 全池(1168 檔)。欄位:代碼 名稱|產業|最新月YoY 3月YoY均 加速度|距52週高% 距120日高% 60日漲% 120日漲%|量能比 日均值M|外持% 外20 投20 資20 券20(外資持股比;外資/投信20日淨買佔成交值%;融資/借券餘額20日變化%)
2107 厚生|橡膠工業|5 25 21|90 90 -4 -3|0.7 5|8 -23 0 -4 2
2108 南帝|橡膠工業|50 36 15|73 73 -14 -2|1.4 10|7 -7 -0 -4 -3
2109 華豐|橡膠工業|16 6 3|91 93 -5 -4|1.4 6|16 -8 0 -36 5
2201 裕隆|汽車工業|-12 -2 -10|70 79 1 -20|0.7 138|6 5 -0 -5 -5
2204 中華|汽車工業|-36 -29 -46|57 64 9 -32|2.8 642|20 -11 1 71 90
2206 三陽工業|汽車工業|-10 -6 -11|85 90 -7 -3|0.6 143|10 36 -34 27 -32
2207 和泰車|汽車工業|4 -1 -4|86 86 -7 2|0.9 138|24 -15 -1 9 1
2208 台船|航運業|-48 -39 -7|77 87 -9 -7|0.6 30|5 2 5 -100 -11
2211 長榮鋼|鋼鐵工業|102 47 32|63 63 -21 -34|1.0 65|4 -8 -8 -5 12
2227 裕日車|汽車工業|-28 -23 -16|48 65 -24 -34|1.1 7|41 -2 0 na na
2228 劍麟|汽車工業|-3 0 -7|83 83 -6 -16|0.1 37|8 -4 0 -13 0
2230 泰茂|居家生活|300 205 56|81 86 -8 -4|1.0 126|3 -5 0 -9 2
2231 為升|汽車工業|44 27 28|73 73 -3 -21|1.4 69|7 8 0 -27 -19
2233 宇隆|汽車工業|8 1 -12|89 89 6 34|1.2 156|12 2 -1 40 22
2236 百達-KY|汽車工業|-28 -14 -12|100 100 26 64|0.9 67|64 1 0 -3 13
2241 艾姆勒|汽車工業|-43 -35 -30|55 64 -15 -35|0.3 17|8 4 0 1 1
2243 宏旭-KY|汽車工業|-53 -31 -133|58 58 -24 -10|0.1 8|29 3 0 -18 11
2247 汎德永業|汽車工業|17 9 4|86 87 -4 -11|0.8 9|5 5 0 -12 -5
2250 IKKA-KY|汽車工業|0 -6 -12|69 82 -5 -19|0.2 9|7 -4 0 -1 10
2254 巨鎧精密-創|汽車工業|-42 -45 -93|87 88 -6 6|1.0 18|25 -0 0 3 0
2258 鴻華先進-創|汽車工業|336 582 -488|na 82 -1 -11|0.5 9|0 -10 0 na na
2301 光寶科|電腦及週|1 -8 3|89 96 -1 0|0.8 759|26 9 2 -7 -32
2302 麗正|半導體業|32 20 25|97 99 17 5|2.4 21|1 -0 0 27 25
2303 聯電|半導體業|11 7 7|77 77 -19 -17|1.2 2989|27 -30 8 23 26
2305 全友|電腦及週|58 31 -11|57 65 -21 -28|1.1 7|2 11 0 18 1
2308 台達電|電子零組|12 7 6|90 90 -2 14|0.5 2484|66 2 -5 -3 -24
2312 金寶|其他電子|11 16 19|87 87 26 71|2.1 3596|19 3 -0 -4 6
2313 華通|電子零組|-9 -3 -12|68 68 -22 -13|0.4 442|14 -5 -0 1 15
2314 台揚|通信網路|-42 -42 13|74 87 0 -3|0.6 34|3 3 0 na na
2316 楠梓電|電子零組|27 7 14|85 85 6 11|0.4 92|29 1 0 0 -20
2317 鴻海|其他電子|9 17 9|87 87 7 12|1.0 12131|39 -13 -1 11 79
2323 中環|光電業|5 -1 -2|85 85 -9 -7|1.1 51|11 4 -9 1 7
2324 仁寶|電腦及週|-2 -0 2|94 98 14 4|1.2 1126|44 3 2 30 57
2327 國巨*|電子零組|15 13 2|65 65 -21 -23|1.1 1231|53 -14 -1 13 -17
2328 廣宇|電子零組|-5 -12 2|91 92 4 -9|0.6 193|14 1 0 -12 -20
2329 華泰|半導體業|-19 -17 -24|42 56 -16 -43|0.4 124|7 -4 -0 -2 5
2330 台積電|半導體業|29 34 8|95 95 10 22|0.9 40505|73 -13 1 -4 9
2331 精英|電腦及週|-2 4 16|63 68 -9 -31|0.6 32|9 5 0 -5 -11
2332 友訊|通信網路|-14 -5 6|93 93 15 21|4.1 222|14 5 1 21 6
2337 旺宏|半導體業|-1 3 14|63 68 -27 -23|1.0 126|15 3 -1 0 -9
2338 光罩|半導體業|4 -5 -11|65 65 -17 -24|0.6 39|6 -3 0 -8 -1
2340 台亞|半導體業|5 3 -8|61 69 -23 -24|0.6 27|11 -5 0 -5 0
2342 茂矽|半導體業|54 37 28|96 99 8 8|0.7 16|8 18 0 1 -8
2344 華邦電|半導體業|-3 4 -5|52 59 -33 -34|1.2 511|15 0 -0 1 -64
2345 智邦|通信網路|52 38 23|100 100 33 36|1.6 2760|64 -4 5 135 131
2347 聯強|電子通路|8 9 -2|85 87 4 -8|0.7 335|32 -27 33 -8 70
