date,nav,cash,active,turnover,requested_turnover,commission,tax,slippage_cost,blocked_orders,partial_orders,filled_orders
2014-10-15,2242794.729377291,1257036.06337328,5,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-10-16,2246491.446396463,1257036.06337328,5,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-10-17,2240553.5436643185,1130644.4022324474,6,0.0681073910571529,0.0680791540489686,115.76422367757576,41.58666608903593,77.70909591840015,1,0,5
2014-10-20,2264234.426126321,1130644.4022324474,6,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-10-21,2254128.676093262,1130644.4022324474,6,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-10-22,2269634.816480634,1130644.4022324474,6,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-10-23,2264491.4165555574,1130644.4022324474,6,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-10-24,2251403.2563239103,1130644.4022324474,6,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-10-27,2247122.5761175575,1130644.4022324474,6,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-10-28,2257979.1816256484,1130644.4022324474,6,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-10-29,2269109.6860538246,1130644.4022324474,6,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-10-30,2269151.850166471,1484.1926823785107,6,0.49779731095734536,0.4982743414172017,429.8117529871432,0.0,482.6997836882494,0,1,6
2014-10-31,2297054.477537456,1484.1926823785107,6,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-11-03,2310753.645696868,29.618017197179142,3,0.389115007690548,0.3899746938284278,236.57344778098042,1354.9288619570402,470.35693749435336,0,1,6
2014-11-04,2330298.240098558,29.618017197179142,3,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-11-05,2326029.209685125,29.618017197179142,3,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-11-06,2318710.871833525,29.618017197179142,3,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-11-07,2317811.183470613,29.618017197179142,3,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-11-10,2362024.763561101,29.618017197179142,3,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-11-11,2346444.0720057525,29.618017197179142,3,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-11-12,2309155.0472212983,29.618017197179142,3,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-11-13,2331120.2448770036,29.618017197179142,3,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-11-14,2343164.0349577507,430081.6905363724,2,0.18489224793347228,0.18507729498617193,215.6277661776396,1294.687162343088,431.92372176657545,0,0,1
2014-11-17,2330967.5924981856,430081.6905363724,2,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-11-18,2301389.9008177957,430081.6905363724,2,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-11-19,2350481.9791628,430081.6905363724,2,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-11-20,2387682.34896878,430081.6905363724,2,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-11-21,2382498.7231471725,430081.6905363724,2,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-11-24,2381888.861659539,430081.6905363724,2,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-11-25,2387072.487481147,430081.6905363724,2,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-11-26,2384023.1800429802,430081.6905363724,2,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-11-27,2391950.9857356627,430081.6905363724,2,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-11-28,2402622.97129942,430081.6905363724,2,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-12-01,2399168.678092662,115.68304842356883,6,0.5202852370336943,0.520849332652719,397.5453914296722,1205.162420359119,779.5107067173217,0,1,6
2014-12-02,2378239.647270437,57.03021909974086,7,0.4058161910367291,0.4076169929460869,569.6776027146566,1462.1789193869945,470.59070869121564,0,1,7
2014-12-03,2400256.5843864777,57.03021909974086,7,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-12-04,2414374.247068223,57.03021909974086,7,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-12-05,2393015.843084649,57.03021909974086,7,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-12-08,2379768.758235237,57.03021909974086,7,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-12-09,2390103.4413707145,57.03021909974086,7,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-12-10,2366456.2429070896,57.03021909974086,7,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-12-11,2357840.248501366,57.03021909974086,7,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-12-12,2380957.047360396,57.03021909974086,7,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-12-15,2394368.6284654313,57.03021909974086,7,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-12-16,2358925.9755411884,57.03021909974086,7,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-12-17,2324156.6675818395,57.03021909974086,7,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-12-18,2346273.1300537796,57.03021909974086,7,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-12-19,2417777.267510894,207220.31385737463,5,0.09565501022177053,0.09570894241366712,237.35673014920403,655.5243852979951,139.5405449543444,0,0,7
2014-12-22,2424070.306317214,11156.865056647795,6,0.0822269250934898,0.08218503920214819,202.6754068823085,3.9096559210466277,102.40007138556126,0,0,6
2014-12-23,2428346.2182159275,11156.865056647795,6,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-12-24,2437860.650314589,11156.865056647795,6,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-12-25,2422191.3583001667,11156.865056647795,6,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-12-26,2434504.6824615384,11156.865056647795,6,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-12-27,2433518.827467304,11156.865056647795,6,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-12-29,2459989.2384104733,11156.865056647795,6,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-12-30,2449491.832687922,11156.865056647795,6,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-12-31,2460063.2449496216,11156.865056647795,6,0.0,0.0,0.0,0.0,0.0,0,0,0
2015-01-05,2460647.454475332,11156.865056647795,6,0.0,0.0,0.0,0.0,0.0,0,0,0
2015-01-06,2373247.698311321,12439.151654338428,6,0.2385257231991258,0.2385385997110481,211.62235992560068,873.9044131078601,261.1986953872986,0,0,7
2015-01-07,2385727.769245831,12439.151654338428,6,0.0,0.0,0.0,0.0,0.0,0,0,0
2015-01-08,2437579.6716738166,12439.151654338428,6,0.0,0.0,0.0,0.0,0.0,0,0,0
2015-01-09,2389604.8297905624,7.0095229411635955,5,0.5377430104736174,0.5397259713254725,657.7602275077711,1931.9723223441918,694.5427889112789,0,1,8
2015-01-12,2366243.2057841774,29.283141150837764,5,0.5200608507779555,0.5219453510791652,730.0903240170611,1855.4638222430078,685.9444500805797,2,1,5
2015-01-13,2370482.1904885774,70.8018327270238,5,0.4050000443536187,0.4062026442367162,576.9940950278478,1436.2541832193492,534.911487649324,1,1,5
2015-01-14,2345877.36138097,20.007503258646466,4,0.5180125150446918,0.5200260977489646,717.824344742203,1847.726922320187,667.8590308043017,2,1,4
2015-01-15,2369772.111564988,57.48744796039591,5,0.5266829171184213,0.5287669608706681,727.7192956277335,1875.7872847463088,676.6149977248936,2,1,4
2015-01-16,2423070.479763042,34.90112887377654,5,0.3600044304866007,0.36138972547115944,536.5934665449039,1336.7182312323555,241.81137582812963,1,1,5
2015-01-19,2432438.2452375595,89.23495370022545,4,0.5214130951292087,0.5231227786702756,766.857345449479,1920.985862948273,331.2245823116331,1,1,5
2015-01-20,2414412.052069844,13.387042895308696,4,0.5189182559846777,0.5208289048454926,751.6777779054057,1897.8816174043554,804.8837514953972,1,1,4
2015-01-21,2449327.2914930736,13.387042895308696,4,0.0,0.0,0.0,0.0,0.0,0,0,0
2015-01-22,2436938.633066764,1.8032927139283856,5,0.5198942813753469,0.5219309330292689,758.8362795233792,1922.7414993802906,679.3023803967145,1,1,5
2015-01-23,2498464.7249564747,42.86005011594261,5,0.11357752229081566,0.11424167216147672,198.636095356512,423.31791735281246,142.29672451673676,1,1,5
2015-01-26,2495781.4586322685,35.476663383799405,4,0.4068963797264461,0.4073061980848588,609.2536014839468,1530.7532117930416,532.0292798577138,0,1,5
2015-01-27,2523880.3755238773,55.862313836034446,3,0.47752510742652104,0.47957000549469964,682.7203317110375,1800.3876923829705,582.1133092488747,0,1,4
