# 2025-04 月中(2025-04-11,上月月報甫公佈)全池量化快照(1174 檔)。欄位:代碼 名稱|產業|最新月YoY 3月YoY均 加速度|距52週高% 距120日高% 60日漲% 120日漲%|量能比 日均值M|外持% 外20 投20 資20 券20(外資持股比;外資/投信20日淨買佔成交值%;融資/借券餘額20日變化%)
2431 聯昌|電子零組|77 21 36|54 54 -26 -18|1.2 20|6 -4 0 -30 7
2436 偉詮電|半導體業|21 23 13|61 61 -24 -34|1.1 38|6 10 -0 -31 -26
2438 翔耀|光電業|68 55 -186|33 57 -14 -39|0.7 5|1 -3 0 na na
2439 美律|通信網路|14 10 -11|72 80 -3 -11|1.2 337|21 9 1 -32 25
2440 太空梭|電子零組|11 39 -0|66 88 4 -6|2.2 6|0 -0 0 na na
2441 超豐|半導體業|16 12 1|79 79 -10 -10|1.4 27|12 -1 -0 -53 -11
2442 新美齊|建材營造|236 53 -6|56 75 -14 -16|2.1 17|2 2 0 -2 2
2444 兆勁|通信網路|-4 -5 12|60 60 -35 -20|0.6 10|3 -3 0 na na
2449 京元電子|半導體業|24 22 7|59 59 -27 -27|1.0 1243|24 0 -6 -45 -35
2451 創見|半導體業|34 11 12|70 89 9 -8|1.2 147|8 8 -1 -59 -8
2453 凌群|資訊服務|4 5 -2|73 73 -5 5|0.4 342|11 2 -0 -18 -35
2454 聯發科|半導體業|11 15 -4|89 89 1 15|1.5 9675|59 -2 3 -21 -19
2455 全新|通信網路|-10 -5 -12|45 50 -44 -45|1.1 494|27 -4 -5 18 15
2457 飛宏|電子零組|5 -4 4|44 55 -32 -41|1.4 37|10 15 0 -20 9
2458 義隆|半導體業|-9 1 1|67 69 -25 -20|1.9 220|25 -2 -2 8 31
2461 光群雷|其他電子|-4 -6 -1|61 68 -22 -31|2.2 6|6 -0 0 -34 -14
