出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
"108/11/24","102/8","2327","國巨","電子零組件業","2217773","2112551","2154317","4.980802830322203","2.94552751521712","16726737","16167381","3.459781148226791","-"
"108/11/24","102/8","2328","廣宇","電子零組件業","1305809","1309715","1601429","-0.29823282164440357","-18.459763124059823","9120208","11106000","-17.880352962362686","-"
"108/11/24","102/8","2329","華泰","半導體業","816559","855143","857669","-4.511993900435366","-4.79322442574","6171637","7367889","-16.23602092811116","-"
"108/11/24","102/8","2330","台積電","半導體業","55091177","52103384","49539595","5.734354989303574","11.206353221095167","395835877","331908059","19.260700747251214","-"
"108/11/24","102/8","2331","精英","電腦及週邊設備業","5732763","5507090","5361366","4.09786293668707","6.927283084199064","40788402","42779686","-4.654741972626915","-"
"108/11/24","102/8","2332","友訊","通信網路業","2659247","2432847","2771547","9.305969508152383","-4.051888710528813","19539128","21294128","-8.241708700163725","-"
"108/11/24","102/8","2337","旺宏","半導體業","2525116","1805327","2117441","39.87028388762811","19.25319288707454","13966241","15814281","-11.685893275830876","-"
"108/11/24","102/8","2338","光罩","半導體業","139358","148364","179581","-6.0702057102801215","-22.398249257995","1198224","1454429","-17.61550409129631","102年08月營收公告"
"108/11/24","102/8","2340","光磊","光電業","530206","524702","620058","1.0489763713498328","-14.49090246396305","4297145","4515215","-4.829670347923631","-"
"108/11/24","102/8","2342","茂矽","半導體業","120771","152101","138604","-20.598155173207278","-12.866151049031775","1099235","1459901","-24.704825875179207","-"
"108/11/24","102/8","2344","華邦電","半導體業","2804110","2855022","2810888","-1.783243701799846","-0.24113376271128553","22180066","22399159","-0.9781304735592975","-"
"108/11/24","102/8","2345","智邦","通信網路業","2045515","1613905","2442664","26.74320979239794","-16.258846898304473","14638532","17786414","-17.69823866688361","-"
"108/11/24","102/8","2347","聯強","電子通路業","27015625","27721798","27480769","-2.5473564160593045","-1.6926163893011874","207144388","200871811","3.122676581036052","-"
"108/11/24","102/8","2348","海悅","其他","70845","73688","11472","-3.8581587232656607","517.5470711297071","320629","113544","182.3830409356725","-"
"108/11/24","102/8","2349","錸德","光電業","1115098","1205250","1459924","-7.479941920763327","-23.619448683630107","9815868","12296290","-20.172116955602057","-"
"108/11/24","102/8","2351","順德","半導體業","756552","803356","788311","-5.826059679643894","-4.028739926247382","6166559","6049855","1.9290379686785881","-"
"108/11/24","102/8","2352","佳世達","電腦及週邊設備業","9749585","9697191","10102684","0.5403007943228095","-3.4951009058582847","76271429","77128937","-1.1117850619411493","-"
"108/11/24","102/8","2353","宏碁","電腦及週邊設備業","30659985","28552366","35555870","7.381591423982167","-13.769554787999844","240525552","287256223","-16.267940346761435","-"
"108/11/24","102/8","2354","鴻準","其他電子業","9780342","7237275","12157632","35.13846026301336","-19.553890099650985","54354717","61392772","-11.46397983137168","-"
"108/11/24","102/8","2355","敬鵬","電子零組件業","1667676","1713452","1612231","-2.671565938234628","3.4390233161376997","12730917","12185159","4.478874670408486","-"
"108/11/24","102/8","2356","英業達","電腦及週邊設備業","37865846","37060644","28101899","2.172660572223192","34.74479429308318","278918547","263070766","6.024151311438383","-"
"108/11/24","102/8","2357","華碩","電腦及週邊設備業","40897595","35790334","44716636","14.269945063938213","-8.540537351691661","290460700","286348692","1.4360142423838975","-"
"108/11/24","102/8","2358","廷鑫","其他","114031","143781","55375","-20.691190073792782","105.92505643340857","1034508","310063","233.64445290150712","-"
"108/11/24","102/8","2359","所羅門","其他電子業","364491","520341","513003","-29.951512565798197","-28.949538306793528","3907316","3529278","10.711482631858415","-"
"108/11/24","102/8","2360","致茂","其他電子業","868364","962057","1102539","-9.738820049123909","-21.23961147859622","6885396","7935606","-13.234149981740526","-"
"108/11/24","102/8","2362","藍天","電腦及週邊設備業","1398243","1347273","1566398","3.783197614737325","-10.735138834446929","11455831","11949965","-4.1350246632521515","-"
"108/11/24","102/8","2363","矽統","半導體業","44351","37872","52483","17.107625686523026","-15.494541089495646","310176","352340","-11.966850201509905","-"
"108/11/24","102/8","2364","倫飛","電腦及週邊設備業","95689","118770","127425","-19.4333585922371","-24.905630763194036","617745","987153","-37.42155471340309","-"
"108/11/24","102/8","2365","昆盈","電腦及週邊設備業","724506","687674","731194","5.3560262566274135","-0.9146683369940125","5623290","5460161","2.987622526148954","-"
"108/11/24","102/8","2367","燿華","電子零組件業","1250398","1243450","914218","0.5587679440266999","36.77241095668648","8879590","7604807","16.762858018619013","-"
"108/11/24","102/8","2368","金像電","電子零組件業","1588731","1464487","1297312","8.483789886834092","22.463293332675562","11460699","9810044","16.82617325671526","-"
"108/11/24","102/8","2369","菱生","半導體業","482830","528939","553085","-8.717262293005431","-12.702387517289386","4046505","4349433","-6.964769890696098","-"
"108/11/24","102/8","2371","大同","電機機械","9816714","9597075","9763444","2.288603558896851","0.5456066527344244","73621831","71846259","2.4713492737318448","-"
"108/11/24","102/8","2373","震旦行","其他電子業","880273","865039","1088937","1.761076668219583","-19.162173752935203","6889247","8630795","-20.178303389201112","2012/11起震旦電信不再納入合併，8月合併營收採同基礎比較去年本月為7.6億元，成長15%。"
"108/11/24","102/8","2374","佳能","光電業","2013210","2225760","3819146","-9.549547120983394","-47.286382871982376","17918839","28917546","-38.03471774541311","-"
"108/11/24","102/8","2375","智寶","電子零組件業","142984","146733","140406","-2.5549808154948104","1.836103870204977","1201856","1126055","6.731553964948426","-"
"108/11/24","102/8","2376","技嘉","電腦及週邊設備業","4247506","4716282","4427206","-9.93952439654796","-4.058993414808346","32904476","29936716","9.913445415990184","-"
"108/11/24","102/8","2377","微星","電腦及週邊設備業","6161889","5883572","6514878","4.730408670107207","-5.418198161193502","44699590","45100602","-0.8891499940510772","-"
"108/11/24","102/8","2379","瑞昱","半導體業","2344104","2292171","2162743","2.265668660845984","8.385693538252118","18336124","16105473","13.8502669247901","-"
"108/11/24","102/8","2380","虹光","電腦及週邊設備業","252559","315889","315440","-20.048181481469758","-19.934377377631247","1872073","2150665","-12.953760813515819","-"
"108/11/24","102/8","2382","廣達","電腦及週邊設備業","72658957","71736461","89886158","1.2859513657915185","-19.16557719599051","532724170","656118820","-18.80675363038664","-"
"108/11/24","102/8","2383","台光電","電子零組件業","1544876","1434752","1490481","7.675472834329557","3.6494930160129515","11240272","10270439","9.44295565165228","102年起月營業收入為合併營收金額"
"108/11/24","102/8","2385","群光","電子零組件業","6083585","5700106","5907047","6.7275766450658985","2.9885998875580304","46822138","40965921","14.295338313033412","-"
"108/11/24","102/8","2387","精元","電腦及週邊設備業","1059547","1091309","1191706","-2.9104497442979027","-11.089899690024218","7855551","8789213","-10.62281685516098","-"
"108/11/24","102/8","2388","威盛","半導體業","306841","295147","333863","3.9620934652901774","-8.093739048651692","3017415","2985268","1.0768547413498553","-"
