# 2024-03-01 全池(1192 檔)。欄位:代碼 名稱|產業|最新月YoY 3月YoY均 加速度|距52週高% 距120日高% 60日漲% 120日漲%|量能比 日均值M|外持% 外20 投20 資20 券20(外資持股比;外資/投信20日淨買佔成交值%;融資/借券餘額20日變化%)|PB位 PE位 殖(PB/PE 三年分位%,高=貴;殖利率%)|益前→新(前一→最新已公佈季累計營益率%)
1810 和成|玻璃陶瓷|45 18 15|63 81 -4 -16|0.8 10|3 16 0 -2 -25|PB位48 PE位na 殖1.1|益0.1→-0.9
1815 富喬|電子零組|-16 -26 3|92 92 10 37|2.7 204|1 1 0 9 -18|PB位96 PE位na 殖1.6|益-11.4→-13.6
1903 士紙|造紙工業|5 4 -3|70 85 -6 -11|0.6 8|12 7 0 -2 -10|PB位70 PE位50 殖0.0|益-46.8→-44.8
1904 正隆|造紙工業|27 12 11|83 96 -2 4|0.7 17|9 -6 -0 -8 -15|PB位32 PE位93 殖3.8|益2.9→3.6
1905 華紙|造紙工業|31 9 15|71 90 5 -2|0.5 35|3 8 0 -7 -10|PB位68 PE位na 殖1.3|益-5.2→-5.8
1907 永豐餘|造紙工業|42 15 16|77 86 -4 -5|0.3 33|14 -28 -1 0 -31|PB位32 PE位91 殖3.0|益-1.0→-0.9
1909 榮成|造紙工業|41 9 14|75 92 -5 -6|0.9 14|11 -6 0 -4 0|PB位21 PE位na 殖1.8|益-2.0→-0.9
2002 中鋼|鋼鐵工業|22 3 16|79 90 -7 -8|0.8 331|17 -17 -0 1 15|PB位3 PE位92 殖4.1|益0.8→0.3
2006 東和鋼鐵|鋼鐵工業|55 31 20|100 100 12 31|1.3 106|18 25 -3 -38 -8|PB位90 PE位76 殖5.4|益9.7→9.7
2007 燁興|鋼鐵工業|6 -6 15|77 77 -3 11|0.3 9|1 1 0 6 -7|PB位45 PE位na 殖0.0|益-10.5→-11.3
2009 第一銅|鋼鐵工業|54 35 33|82 93 5 6|0.5 24|1 17 0 10 -37|PB位30 PE位92 殖1.3|益-4.6→-3.4
2010 春源|鋼鐵工業|48 18 23|91 91 4 1|0.5 8|8 5 1 -7 -6|PB位43 PE位52 殖3.5|益3.9→4.1
2014 中鴻|鋼鐵工業|18 16 19|79 82 -1 1|0.3 77|6 -5 -1 -10 -2|PB位39 PE位100 殖0.4|益1.1→-0.3
2015 豐興|鋼鐵工業|59 14 15|96 99 5 2|1.1 10|11 5 9 -2 0|PB位18 PE位96 殖5.8|益7.7→7.5
2017 官田鋼|鋼鐵工業|2 19 27|80 91 -2 4|0.6 14|1 -2 0 3 -5|PB位39 PE位na 殖5.6|益-12.2→-12.9
2020 美亞|鋼鐵工業|48 13 -1|100 100 19 39|1.1 30|8 19 0 25 -22|PB位95 PE位57 殖2.8|益8.4→7.5
2022 聚亨|鋼鐵工業|44 5 9|71 83 -3 -11|0.4 6|3 7 0 -6 -5|PB位8 PE位na 殖0.0|益2.6→2.2
2023 燁輝|鋼鐵工業|32 20 26|82 82 -9 2|0.5 23|6 2 -0 -8 -3|PB位32 PE位na 殖2.0|益2.4→2.5
2025 千興|鋼鐵工業|299 195 -40|97 97 36 80|2.4 32|3 4 0 na na|PB位58 PE位84 殖0.0|益-31.6→-25.5
2027 大成鋼|鋼鐵工業|-22 -14 -1|89 91 -5 -1|0.6 104|16 -3 -2 -0 8|PB位23 PE位72 殖12.2|益10.9→9.9
2029 盛餘|鋼鐵工業|45 50 36|89 89 -0 17|0.6 10|69 -4 0 13 -12|PB位52 PE位59 殖3.7|益4.6→5.7
2030 彰源|鋼鐵工業|36 7 20|85 92 2 3|0.8 6|3 19 0 -13 -7|PB位17 PE位88 殖7.9|益2.9→2.2
2031 新光鋼|鋼鐵工業|67 29 25|100 100 38 44|1.8 171|17 8 1 108 -7|PB位86 PE位58 殖1.5|益6.4→5.6
2034 允強|鋼鐵工業|-3 -3 3|86 91 -5 -7|1.3 12|8 -8 0 -24 -1|PB位27 PE位na 殖5.9|益3.8→4.3
2038 海光|鋼鐵工業|56 21 27|84 84 11 12|0.3 10|2 3 0 -1 -14|PB位33 PE位86 殖2.5|益0.7→0.5
2049 上銀|電機機械|24 13 23|92 92 5 19|1.9 347|29 2 5 32 -3|PB位39 PE位85 殖1.1|益12.4→13.1
2059 川湖|電子零組|64 21 38|100 100 61 51|1.4 2423|17 5 1 6 -6|PB位100 PE位100 殖1.0|益46.3→46.7
2062 橋椿|居家生活|157 65 51|97 97 22 37|2.5 24|10 5 4 109 -19|PB位66 PE位80 殖2.7|益2.0→3.6
2065 世豐|鋼鐵工業|5 -3 5|99 99 10 15|3.6 10|3 8 0 82 45|PB位94 PE位86 殖6.9|益13.0→13.6
2066 世德|電機機械|1 -0 2|92 99 3 16|1.3 17|12 7 0 16 5|PB位89 PE位30 殖4.7|益13.6→13.5
2101 南港|橡膠工業|35 28 15|87 87 2 2|1.1 69|8 -10 0 -2 12|PB位86 PE位na 殖0.0|益1.8→4.2
2103 台橡|橡膠工業|22 12 15|80 92 -6 -3|1.2 20|24 -23 -1 6 -8|PB位3 PE位91 殖4.7|益2.6→2.4
2104 國際中橡|橡膠工業|6 -11 10|79 89 -9 -10|1.3 23|11 -15 -0 1 18|PB位3 PE位na 殖0.6|益-0.7→-0.0
2105 正新|橡膠工業|43 15 11|97 97 -0 17|0.5 143|17 30 2 -8 -30|PB位87 PE位62 殖3.0|益9.4→10.4
2106 建大|橡膠工業|17 11 17|94 94 -4 1|0.8 11|7 5 -1 -8 -17|PB位25 PE位na 殖3.3|益0.4→2.5
2108 南帝|橡膠工業|18 4 18|79 90 -7 -2|1.1 7|8 -9 -2 3 -11|PB位4 PE位82 殖5.7|益9.4→8.9
2201 裕隆|汽車工業|15 11 1|80 82 -8 -16|0.9 255|6 1 -0 -4 -6|PB位68 PE位90 殖1.3|益12.1→11.9
2204 中華|汽車工業|66 49 13|98 98 21 39|0.7 356|26 5 3 -12 -31|PB位100 PE位99 殖3.2|益6.9→6.6
2206 三陽工業|汽車工業|43 26 -6|82 100 7 6|2.3 166|9 17 0 -13 -22|PB位89 PE位40 殖2.3|益10.7→10.2
2207 和泰車|汽車工業|48 21 0|78 93 -3 -5|1.2 139|25 4 1 -24 10|PB位61 PE位91 殖0.3|益na→na
2208 台船|航運業|-35 -26 -34|68 77 -12 -17|1.1 65|5 -5 0 -2 11|PB位81 PE位na 殖0.0|益-18.8→-13.9
2211 長榮鋼|鋼鐵工業|72 23 12|89 89 32 54|0.6 128|6 -4 2 11 7|PB位98 PE位51 殖4.8|益28.7→29.9
2227 裕日車|汽車工業|35 7 -22|85 88 -11 -9|1.7 8|41 -6 0 na na|PB位1 PE位90 殖4.3|益1.9→1.4
2228 劍麟|汽車工業|25 18 3|88 88 -2 4|1.4 12|8 -3 0 -1 -2|PB位79 PE位32 殖4.4|益9.1→11.0
