score,exit,cell,fold,cagr,sortino,mdd,boot_p5,key
role40,grid,g_tp0.8_trnone_abnone_td50,WF,0.3165311737073533,1.7075150436697666,-0.345778277261389,-0.0259,role40|grid|g_tp0.8_trnone_abnone_td50
role40,grid,g_tp0.6_tr0.3_abnone_td50,WF,0.3164913719332802,1.8462896018831776,-0.3347800070058173,-0.0182,role40|grid|g_tp0.6_tr0.3_abnone_td50
role40,grid,g_tp0.6_trnone_ab0.15_tdnone,WF,0.3159187598113431,1.6940311891189217,-0.3297751773859998,-0.029,role40|grid|g_tp0.6_trnone_ab0.15_tdnone
role40,grid,g_tp0.4_tr0.3_abnone_tdnone,WF,0.3128597514242444,1.7582375816375322,-0.3142596686545535,-0.0076,role40|grid|g_tp0.4_tr0.3_abnone_tdnone
role40,grid,g_tp0.6_trnone_abnone_td50,WF,0.3107124509263861,1.627371791561723,-0.3617506186481087,-0.0325,role40|grid|g_tp0.6_trnone_abnone_td50
role40,grid,g_tp0.8_tr0.3_ab0.15_tdnone,WF,0.309710120204743,1.61186171456168,-0.2988438901449584,-0.0104,role40|grid|g_tp0.8_tr0.3_ab0.15_tdnone
role40,grid,g_tp0.4_tr0.3_ab0.15_td50,WF,0.3063600725239634,1.866994111625004,-0.2539697759786763,0.0372,role40|grid|g_tp0.4_tr0.3_ab0.15_td50
role40,grid,g_tp0.4_trnone_ab0.15_td50,WF,0.3063600725239634,1.866994111625004,-0.2539697759786763,0.0376,role40|grid|g_tp0.4_trnone_ab0.15_td50
role40,grid,g_tp0.6_tr0.3_ab0.15_td50,WF,0.3059399614904119,1.7330486734316,-0.3626153025254464,-0.048,role40|grid|g_tp0.6_tr0.3_ab0.15_td50
role40,grid,g_tp0.8_tr0.3_abnone_tdnone,WF,0.3036450738003544,1.650544136086105,-0.3073960255353557,-0.0193,role40|grid|g_tp0.8_tr0.3_abnone_tdnone
role40,grid,g_tp0.8_tr0.3_abnone_td50,WF,0.3001955106922229,1.7266904432398666,-0.3257080266765806,-0.0434,role40|grid|g_tp0.8_tr0.3_abnone_td50
role40,grid,g_tp0.4_tr0.3_abnone_td50,WF,0.2982482481914155,1.7603748963372992,-0.2683247319483848,0.0164,role40|grid|g_tp0.4_tr0.3_abnone_td50
role40,grid,g_tp0.6_trnone_ab0.15_td50,WF,0.2931567864776254,1.7435509655529922,-0.3321302924872772,-0.033,role40|grid|g_tp0.6_trnone_ab0.15_td50
role40,grid,g_tp0.6_trnone_abnone_tdnone,WF,0.2915873938373199,1.556802061711862,-0.3805426542714595,-0.0275,role40|grid|g_tp0.6_trnone_abnone_tdnone
role40,grid,g_tp0.4_trnone_abnone_tdnone,WF,0.2889983489424264,1.5262954523305186,-0.369720086365209,-0.0268,role40|grid|g_tp0.4_trnone_abnone_tdnone
role40,grid,g_tp0.4_tr0.3_ab0.15_tdnone,WF,0.2838158955882981,1.5986041483059945,-0.336644876759898,-0.042,role40|grid|g_tp0.4_tr0.3_ab0.15_tdnone
role40,grid,g_tp0.4_trnone_ab0.15_tdnone,WF,0.2772897676701364,1.495765048307083,-0.3478243030132396,-0.0644,role40|grid|g_tp0.4_trnone_ab0.15_tdnone
role40,grid,g_tp0.4_trnone_abnone_td50,WF,0.2746983268630132,1.5631327488881266,-0.3232542327600155,-0.0075,role40|grid|g_tp0.4_trnone_abnone_td50
role40,grid,g_tp0.6_tr0.3_abnone_tdnone,WF,0.2332113508657853,1.384907997090779,-0.3930207219410184,-0.0725,role40|grid|g_tp0.6_tr0.3_abnone_tdnone
role40,grid,g_tp0.6_tr0.3_ab0.15_tdnone,WF,0.2241271700028282,1.2611867654537574,-0.3827271777708217,-0.0609,role40|grid|g_tp0.6_tr0.3_ab0.15_tdnone
role40,rgx,ev_v2_thesis_inst_rgx,WF,0.3933322503996308,1.884600877778746,-0.3239722298063072,0.0172,role40|rgx|ev_v2_thesis_inst_rgx
role40,tdx,ev_v2_thesis_inst_tdx,WF,0.3383955047834599,1.946405371083339,-0.3006864031698477,0.0193,role40|tdx|ev_v2_thesis_inst_tdx
