# 2023-05 月末(2023-05-31)全池量化快照(1109 檔)。欄位:代碼 名稱|產業|最新YoY 3月YoY 加速|距52週高% 距120日高% 60日漲% 120日漲%|量能x 日均值M
2495 普安|電腦及週|9 41 5|94 94 29 34|1.0 122
2497 怡利電|汽車工業|38 3 -29|78 82 -6 -2|0.3 42
2498 宏達電|通信網路|44 14 24|90 90 -5 18|0.9 328
2501 國建|建材營造|31 124 -10|94 94 -4 7|1.0 10
2504 國產|建材營造|-8 19 17|98 98 6 14|1.0 94
2505 國揚|建材營造|-99 -91 -70|90 94 -2 -2|1.2 6
2511 太子|建材營造|-36 -41 -19|98 98 6 14|1.3 8
2515 中工|建材營造|44 34 36|100 100 31 40|1.6 101
2520 冠德|建材營造|-27 6 -4|91 96 2 6|0.7 12
2528 皇普|建材營造|-100 126 91|98 98 48 55|2.2 11
2530 華建|建材營造|-99 -22 -17530|98 98 34 24|1.4 29
2534 宏盛|建材營造|-45 -30 -88|87 87 -2 -12|0.4 15
2535 達欣工|建材營造|-16 -18 -23|100 100 12 19|0.6 18
2536 宏普|建材營造|219 76 39|98 98 13 13|1.0 7
2538 基泰|建材營造|-43 14 -35|89 96 -2 4|0.8 8
2539 櫻花建|建材營造|-91 na na|100 100 11 18|1.0 12
2540 愛山林|建材營造|50 59 58|85 97 6 12|1.6 31
2542 興富發|建材營造|-19 86 87|95 95 1 -5|0.9 139
2545 皇翔|建材營造|-77 -75 -54|91 98 3 10|0.4 10
2546 根基|建材營造|29 46 -7|97 97 24 43|0.6 11
2548 華固|建材營造|-54 52 -142|99 99 7 12|2.8 125
2597 潤弘|建材營造|-7 1 -11|90 90 -6 12|0.9 7
2603 長榮|航運業|-60 -63 -51|53 88 -5 -0|0.9 2657
2605 新興|航運業|45 28 24|77 77 -20 8|0.5 50
2606 裕民|航運業|1 0 5|79 79 -20 12|1.0 185
2607 榮運|航運業|-12 -15 -89|75 94 -2 -1|0.5 31
2609 陽明|航運業|-70 -67 -43|59 88 -7 -3|0.5 893
2610 華航|航運業|24 22 12|84 100 9 29|2.9 1152
2611 志信|航運業|-28 -25 -3|70 91 -9 7|4.0 5
2612 中航|航運業|-18 -12 -23|77 87 -10 14|0.8 11
2614 東森|其他|-6 -2 -4|63 76 -18 -8|0.7 23
2615 萬海|航運業|-67 -67 -40|44 67 -28 -18|0.7 421
2616 山隆|油電燃氣|-20 -12 -3|94 98 4 1|0.5 11
2617 台航|航運業|12 13 -4|83 85 -7 15|0.6 19
2618 長榮航|航運業|38 46 12|97 100 20 30|3.1 3038
2630 亞航|航運業|61 48 29|100 100 166 179|3.6 329
2633 台灣高鐵|航運業|56 38 -51|98 98 11 16|1.3 171
2634 漢翔|航運業|45 70 26|94 94 46 76|0.4 1572
2636 台驊控股|航運業|-59 -63 -13|64 94 7 7|0.7 36
2637 慧洋-KY|航運業|-35 -39 -41|58 81 -18 -3|1.5 161
2640 大車隊|數位雲端|20 16 -7|96 96 26 64|0.5 34
2641 正德|航運業|-11 -23 -17|70 86 -8 5|0.3 17
2701 萬企|觀光餐旅|31 26 11|94 94 3 14|4.3 10
2702 華園|觀光餐旅|22 25 -30|87 91 -7 16|2.0 7
2704 國賓|觀光餐旅|-7 -20 -40|99 99 22 51|2.7 29
2705 六福|觀光餐旅|91 66 -50|92 92 5 18|2.9 22
2706 第一店|觀光餐旅|48 45 11|94 94 10 20|4.0 22
2707 晶華|觀光餐旅|35 23 -8|90 90 -10 47|0.7 277
2719 燦星旅|觀光餐旅|1127 1506 531|95 95 37 218|2.0 14
2722 夏都|觀光餐旅|12 1 -268|100 100 47 123|3.2 79
2723 美食-KY|觀光餐旅|34 16 12|89 89 -6 31|0.8 221
2727 王品|觀光餐旅|55 29 8|96 96 17 114|0.6 777
2729 瓦城|觀光餐旅|63 21 -6|97 97 4 38|0.8 87
2731 雄獅|觀光餐旅|901 604 242|94 94 43 93|0.7 1361
2732 六角|觀光餐旅|-3 1 -4|93 93 16 56|0.4 159
2734 易飛網|觀光餐旅|358 658 243|100 100 36 88|1.7 78
2736 富野|觀光餐旅|42 7 -107|100 100 51 99|4.9 180
2739 寒舍|觀光餐旅|73 56 -46|92 92 26 180|1.8 38
2743 山富|觀光餐旅|1650 1243 163|100 100 115 155|0.3 110
2745 五福|觀光餐旅|2546 2647 1557|97 97 82 121|0.9 48
2748 雲品|觀光餐旅|18 8 -77|87 87 -4 84|1.5 235
2753 八方雲集|觀光餐旅|5 11 -3|68 68 -28 -14|0.7 84
2754 亞洲藏壽司|觀光餐旅|41 24 -192|81 81 -15 30|0.8 93
2755 揚秦|觀光餐旅|14 17 -5|94 94 27 89|0.2 5
2801 彰銀|金融保險|5 23 1|98 98 3 5|1.9 238
2809 京城銀|金融保險|457 231 189|98 98 6 2|1.6 37
2812 台中銀|金融保險|18 18 2|99 99 7 13|0.7 76
2820 華票|金融保險|86 57 73|93 98 1 4|0.7 9
2832 台產|金融保險|20 16 26|100 100 7 10|0.8 7
2834 臺企銀|金融保險|21 24 -0|95 95 -4 11|0.7 194
2838 聯邦銀|金融保險|27 32 20|99 99 4 2|0.9 11
2845 遠東銀|金融保險|9 22 3|94 94 -5 3|0.9 42
2850 新產|金融保險|16 5 1|90 99 3 10|0.5 7
2851 中再保|金融保險|-22 -5 -5|77 100 10 7|1.1 52
2855 統一證|金融保險|-7 32 -207|96 98 -0 7|1.0 13
2880 華南金|金融保險|-4 11 3|94 95 -2 1|2.3 220
2881 富邦金|金融保險|-48 -68 4|99 99 2 6|1.3 710
2882 國泰金|金融保險|-48 -52 -0|87 98 3 6|1.9 906
2883 凱基金|金融保險|-76 -77 -11|84 94 -3 -6|1.8 515
2884 玉山金|金融保險|37 19 16|92 98 6 9|0.9 405
2885 元大金|金融保險|-5 -5 11|100 100 6 8|1.5 266
2886 兆豐金|金融保險|46 27 18|98 99 9 15|2.3 732
2887 台新新光金|金融保險|12 17 12|98 98 12 25|1.3 335
2889 國票金|金融保險|-21 10 34|86 91 -1 6|0.5 40
2890 永豐金|金融保險|9 8 6|95 96 1 1|1.7 330
