# 2024-03 月末(2024-03-29)全池量化快照(1277 檔)。欄位:代碼 名稱|產業|最新YoY 3月YoY 加速|距52週高% 距120日高% 60日漲% 120日漲%|量能x 日均值M
4138 曜亞|生技醫療|3 2 -21|99 99 22 23|1.3 36
4142 國光生|生技醫療|-82 -68 -120|66 74 -18 -22|0.5 18
4147 中裕|生技醫療|147 61 32|67 77 9 1|0.5 111
4148 全宇生技-KY|生技醫療|-16 -22 0|77 93 3 11|1.8 7
4155 訊映|生技醫療|89 31 39|65 93 -1 -5|1.0 9
4157 太景*-KY|生技醫療|114 102 -893|85 92 2 6|2.2 25
4161 聿新科|生技醫療|4 58 32|88 92 11 19|0.7 5
4162 智擎|生技醫療|-7 8 -17|84 84 -6 14|0.8 102
4163 鐿鈦|生技醫療|-5 -10 -8|87 95 -3 2|0.6 11
4164 承業醫|生技醫療|-16 0 -35|84 93 1 1|0.9 50
4167 松瑞藥|生技醫療|-13 21 25|79 79 -13 11|0.5 26
4168 醣聯|生技醫療|na na na|75 84 -11 -9|0.8 6
4173 久裕|生技醫療|-11 19 3|94 98 4 -1|2.2 5
4174 浩鼎|生技醫療|6118 3290 na|65 74 -10 -22|0.9 29
4175 杏一|生技醫療|3 5 1|57 86 -8 -10|0.8 5
4188 安克|生技醫療|13 32 14|79 79 10 39|0.2 7
4207 環泰|食品工業|3 7 1|100 100 9 10|1.5 10
4303 信立|塑膠工業|-64 -26 22|87 87 138 179|2.9 176
4306 炎洲|塑膠工業|-25 18 20|99 99 4 19|2.0 64
4402 郡都開發|紡織纖維|-31 -48 3|97 97 76 83|0.9 13
4420 光明|紡織纖維|-14 6 25|92 92 45 121|2.4 85
4438 廣越|紡織纖維|-6 -22 -6|92 94 -1 -1|1.0 6
4503 金雨|電機機械|22 101 33|79 92 22 28|0.8 72
4506 崇友|電機機械|-11 5 -4|100 100 17 17|1.2 6
4510 高鋒|電機機械|-10 4 -0|79 97 8 12|5.2 5
4513 福裕|電機機械|14 -10 4|99 99 46 44|1.6 39
4523 永彰|電機機械|-44 23 10|95 100 53 42|4.0 29
4526 東台|電機機械|-64 -20 -8|95 95 24 34|5.2 39
4529 淳紳|其他|44 85 -1|73 73 48 43|0.4 7
4532 瑞智|電機機械|1 23 17|92 97 16 27|1.7 69
4533 協易機|電機機械|-51 -37 -46|69 86 1 5|1.8 68
4536 拓凱|運動休閒|-42 -27 -5|93 98 9 15|0.7 69
4540 全球傳動|電機機械|-34 -17 8|88 95 15 15|6.3 10
4541 晟田|其他|-41 -3 8|66 92 2 -8|2.7 6
4542 科嶠|電子零組|-21 -24 -20|82 82 18 -11|0.6 30
4543 萬在|電機機械|-37 6 14|74 83 4 27|0.3 72
4551 智伸科|汽車工業|-34 -17 4|69 77 -18 -21|0.6 19
4552 力達-KY|電機機械|-52 21 10|82 82 -2 -6|0.9 8
4556 旭然|其他|1 30 33|81 81 26 24|0.3 11
4557 永新-KY|汽車工業|-8 33 21|98 98 6 13|1.4 11
4561 健椿|電機機械|-0 29 5|81 81 1 24|1.2 12
4563 百德|電機機械|-14 23 8|72 86 2 -8|1.1 20
4564 元翎|電機機械|-36 -41 -12|71 83 -4 -10|1.2 14
4566 時碩工業|電機機械|-23 -5 9|71 92 -1 -8|0.9 11
4571 鈞興-KY|電機機械|11 34 27|92 92 15 34|0.9 12
4572 駐龍|電機機械|27 28 2|88 97 -0 7|3.1 52
4576 大銀微系統|電機機械|-26 -19 8|91 91 26 25|6.7 8
4580 捷流閥業|電機機械|-19 -13 -13|99 99 4 6|2.5 9
4581 光隆精密-KY|汽車工業|-9 -0 -13|85 90 1 -6|0.7 17
4583 台灣精銳|電機機械|2 -3 10|93 95 19 22|3.2 71
4707 磐亞|化學工業|-46 -11 -0|99 99 12 16|1.3 10
4714 永捷|化學工業|-53 -21 18|81 81 65 70|1.6 349
4720 德淵|化學工業|-23 10 13|87 87 3 11|0.5 11
4721 美琪瑪|化學工業|-14 -24 26|70 81 -15 -9|1.0 15
4726 永昕|生技醫療|-68 -41 -40|79 96 9 0|0.8 15
4728 雙美|生技醫療|-6 33 1|81 96 15 20|3.1 20
4729 熒茂|光電業|-20 -24 -3|82 82 21 18|0.1 6
4736 泰博|生技醫療|-35 -35 12|80 82 -4 -9|0.7 28
4737 華廣|生技醫療|-7 4 22|85 85 -7 -4|0.8 5
4739 康普|化學工業|-36 -28 13|65 75 -18 -19|0.7 19
4743 合一|生技醫療|13 44 12|71 76 -9 -1|0.8 326
4744 皇將|生技醫療|11 116 49|56 69 -11 -18|0.6 8
4746 台耀|生技醫療|-11 14 -2|92 92 13 24|1.0 236
4747 強生製藥|生技醫療|5 16 -9|61 75 -13 -24|0.4 21
