# 2022-11-01 全池(843 檔)。欄位:代碼 名稱|產業|最新月YoY 3月YoY均 加速度|距52週高% 距120日高% 60日漲% 120日漲%|量能比 日均值M
3147 大綜|資訊服務|-42 -40 -40|83 83 -9 27|0.1 6
3149 正達|光電業|-5 -1 2|61 83 26 -6|1.0 52
3152 璟德|通信網路|-46 -55 -11|40 68 -8 -27|0.7 10
3162 精確|電機機械|117 103 58|78 78 -4 25|0.4 35
3163 波若威|通信網路|34 41 5|74 74 -17 4|0.1 61
3169 亞信|半導體業|-24 -15 -53|34 56 -21 -39|1.1 97
3176 基亞|生技醫療|-88 -40 -351|52 61 -24 -33|0.5 5
3189 景碩|半導體業|17 18 -12|43 62 -17 -34|1.4 1661
3205 佰研|生技醫療|-13 -7 1|52 52 -26 93|0.2 20
3207 耀勝|電子零組|25 15 -23|93 93 20 94|0.6 134
3209 全科|電子通路|-6 17 2|78 78 -12 -6|0.6 16
